dda_agent_name,game_id,survival_time_steps,total_kills,avg_health_percent,health_std,min_health,time_in_flow_zone_percent,time_in_danger_zone_percent,time_in_safety_zone_percent,near_death_count,near_death_time_percent,action_do_nothing_count,action_slightly_easier_count,action_much_easier_count,action_slightly_harder_count,action_much_harder_count,action_oscillations
RL_best_dda_model_2,69,7800,49,91.15384615384616,21.98372178837421,0.0,3.8461538461538463,3.8461538461538463,92.3076923076923,1,3.8461538461538463,0,0,0,0,0,0
RL_best_dda_model_2,70,4800,26,93.75,24.206145913796355,0.0,0.0,6.25,93.75,1,6.25,0,0,0,0,0,0
RL_best_dda_model_2,71,6600,40,95.0,22.9128784747792,-10.0,0.0,4.545454545454546,95.45454545454545,1,4.545454545454546,0,0,0,0,0,0
RL_best_dda_model_2,72,3600,19,88.33333333333333,28.81936077631764,0.0,8.333333333333332,8.333333333333332,83.33333333333334,1,8.333333333333332,0,0,0,0,0,0
RL_best_dda_model_2,73,5400,31,90.55555555555556,23.914714722256537,0.0,5.555555555555555,5.555555555555555,88.88888888888889,1,5.555555555555555,0,0,0,0,0,0
RL_best_dda_model_2,74,7500,44,85.8,20.575713839378697,0.0,12.0,4.0,84.0,1,4.0,0,0,0,0,0,0
RL_best_dda_model_2,75,4500,25,87.33333333333333,25.42090128658349,0.0,6.666666666666667,6.666666666666667,86.66666666666667,1,6.666666666666667,0,0,0,0,0,0
RL_best_dda_model_2,76,3900,21,92.3076923076923,26.64693550105965,0.0,0.0,7.6923076923076925,92.3076923076923,1,7.6923076923076925,0,0,0,0,1,0
RL_best_dda_model_2,77,5400,30,92.22222222222223,24.165070189923938,0.0,5.555555555555555,5.555555555555555,88.88888888888889,1,5.555555555555555,0,0,0,0,0,0
RL_best_dda_model_2,78,3600,20,86.66666666666667,30.912061651652348,0.0,8.333333333333332,8.333333333333332,83.33333333333334,1,8.333333333333332,0,0,0,0,0,0
RL_best_dda_model_2,79,4200,23,92.85714285714286,25.75393768188564,0.0,0.0,7.142857142857142,92.85714285714286,1,7.142857142857142,0,0,0,0,0,0
RL_best_dda_model_2,80,4200,22,86.42857142857143,33.29674863087619,0.0,0.0,14.285714285714285,85.71428571428571,1,14.285714285714285,0,0,0,0,0,0
RL_best_dda_model_2,81,4500,26,86.0,30.066592756745816,0.0,13.333333333333334,6.666666666666667,80.0,1,6.666666666666667,0,0,0,0,0,0
RL_best_dda_model_2,82,8400,51,85.71428571428571,21.41070683903123,0.0,7.142857142857142,3.571428571428571,89.28571428571429,1,3.571428571428571,0,0,0,0,0,0
RL_best_dda_model_2,83,7500,44,85.4,22.623881187806834,-5.0,8.0,4.0,88.0,1,4.0,0,1,0,0,0,0
RL_best_dda_model_2,84,4800,27,92.8125,25.30864168125188,-5.0,0.0,6.25,93.75,1,6.25,0,0,0,0,0,0
RL_best_dda_model_2,85,3000,17,90.0,30.0,0.0,0.0,10.0,90.0,1,10.0,0,0,0,0,0,0
RL_best_dda_model_2,86,7200,43,85.20833333333333,21.72168495357168,0.0,16.666666666666664,4.166666666666666,79.16666666666666,1,4.166666666666666,0,0,0,0,0,0
RL_best_dda_model_2,87,6000,35,89.0,26.153393661244042,-5.0,5.0,5.0,90.0,1,5.0,0,0,0,0,0,0
RL_best_dda_model_2,88,14700,92,63.97959183673469,25.872126515724364,-15.0,53.06122448979592,2.0408163265306123,44.89795918367347,1,2.0408163265306123,0,1,0,0,0,0
RL_best_dda_model_2,89,5700,31,90.0,29.199855803537258,0.0,0.0,10.526315789473683,89.47368421052632,1,10.526315789473683,0,1,0,0,0,0
RL_best_dda_model_2,90,5400,29,87.22222222222223,23.583316974212362,0.0,5.555555555555555,5.555555555555555,88.88888888888889,1,5.555555555555555,0,0,0,0,0,0
RL_best_dda_model_2,91,3900,22,89.23076923076923,27.86272350196128,0.0,7.6923076923076925,7.6923076923076925,84.61538461538461,1,7.6923076923076925,0,1,0,0,0,0
RL_best_dda_model_2,92,5400,30,91.11111111111111,26.010444246043612,0.0,5.555555555555555,5.555555555555555,88.88888888888889,1,5.555555555555555,0,0,0,0,0,0
RL_best_dda_model_2,93,4200,24,92.85714285714286,25.75393768188564,0.0,0.0,7.142857142857142,92.85714285714286,1,7.142857142857142,0,0,0,0,0,0
RL_best_dda_model_2,94,4800,27,91.875,26.50913757556062,-10.0,0.0,6.25,93.75,1,6.25,0,0,0,0,1,0
RL_best_dda_model_2,95,5400,31,91.66666666666667,23.094010767585033,0.0,0.0,5.555555555555555,94.44444444444444,1,5.555555555555555,0,0,0,0,0,0
RL_best_dda_model_2,96,6000,34,88.0,24.919871588754223,-5.0,10.0,5.0,85.0,1,5.0,0,0,0,0,0,0
RL_best_dda_model_2,97,4500,25,93.33333333333333,24.94438257849294,0.0,0.0,6.666666666666667,93.33333333333333,1,6.666666666666667,0,0,0,0,0,0
RL_best_dda_model_2,98,6300,38,86.9047619047619,26.747326990444986,-10.0,19.047619047619047,4.761904761904762,76.19047619047619,1,4.761904761904762,0,0,0,0,0,0
RL_best_dda_model_2,99,5100,27,92.3529411764706,24.13915826903905,0.0,5.88235294117647,5.88235294117647,88.23529411764706,1,5.88235294117647,0,0,0,0,0,0
RL_best_dda_model_2,100,4500,25,88.0,26.758176320519304,-5.0,13.333333333333334,6.666666666666667,80.0,1,6.666666666666667,0,0,0,0,0,0
RL_backup_best_dda_model,1,4800,26,87.5,29.94787137677735,-5.0,0.0,12.5,87.5,1,6.25,0,0,1,0,0,0
RL_backup_best_dda_model,2,3600,20,87.08333333333333,32.68908669401593,-15.0,8.333333333333332,8.333333333333332,83.33333333333334,1,8.333333333333332,0,0,0,0,0,0
RL_backup_best_dda_model,3,4500,24,90.0,27.0801280154532,0.0,6.666666666666667,6.666666666666667,86.66666666666667,1,6.666666666666667,0,0,0,0,0,0
RL_backup_best_dda_model,4,4200,24,90.71428571428571,27.311506134721657,-5.0,0.0,7.142857142857142,92.85714285714286,1,7.142857142857142,0,0,0,0,0,0
RL_backup_best_dda_model,5,4800,28,93.125,26.62676050517599,-10.0,0.0,6.25,93.75,1,6.25,0,0,0,0,0,0
RL_backup_best_dda_model,6,5700,33,86.84210526315789,26.960523104980414,0.0,0.0,10.526315789473683,89.47368421052632,1,5.263157894736842,0,0,1,0,0,0
RL_backup_best_dda_model,7,5400,30,90.0,29.05932629027116,-10.0,5.555555555555555,5.555555555555555,88.88888888888889,1,5.555555555555555,0,0,0,0,0,0
RL_backup_best_dda_model,8,5100,30,93.52941176470588,25.88235294117647,-10.0,0.0,5.88235294117647,94.11764705882352,1,5.88235294117647,0,0,0,0,0,0
RL_backup_best_dda_model,9,15000,79,71.5,27.932955446926844,0.0,36.0,2.0,62.0,1,2.0,0,0,0,0,0,0
RL_backup_best_dda_model,10,4800,25,80.0,28.173569173961614,-15.0,12.5,6.25,81.25,1,6.25,0,1,0,0,0,0
RL_backup_best_dda_model,11,4500,24,90.0,27.0801280154532,0.0,6.666666666666667,6.666666666666667,86.66666666666667,1,6.666666666666667,0,0,0,0,0,0
RL_backup_best_dda_model,12,6000,36,94.0,22.0,0.0,0.0,5.0,95.0,1,5.0,0,0,0,0,0,0
RL_backup_best_dda_model,13,3900,22,92.3076923076923,26.64693550105965,0.0,0.0,7.6923076923076925,92.3076923076923,1,7.6923076923076925,0,0,0,0,0,0
RL_backup_best_dda_model,14,4800,27,81.25,28.367014294775544,0.0,31.25,6.25,62.5,1,6.25,0,0,0,0,0,0
RL_backup_best_dda_model,15,5400,31,94.44444444444444,22.906142364542557,0.0,0.0,5.555555555555555,94.44444444444444,1,5.555555555555555,0,0,0,0,0,0
RL_backup_best_dda_model,16,5100,30,86.17647058823529,31.971007627532217,-15.0,5.88235294117647,11.76470588235294,82.35294117647058,1,5.88235294117647,0,0,0,0,0,0
RL_backup_best_dda_model,17,5400,30,84.44444444444444,31.130946058048668,-10.0,0.0,11.11111111111111,88.88888888888889,1,11.11111111111111,0,0,0,0,0,0
RL_backup_best_dda_model,18,5400,30,86.66666666666667,29.297326385411576,-15.0,5.555555555555555,5.555555555555555,88.88888888888889,1,5.555555555555555,0,0,0,0,0,0
